,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1182,3.9,APOCYNACEAE,Frangipán,Plumeria rubra 
1183,3.7,APOCYNACEAE,Frangipán,Plumeria rubra 
1184,7.6,MYRTACEAE,Pomo,Syzygium jambos 
1185,3.3,APOCYNACEAE,Frangipán,Plumeria rubra 
1186,3.3,APOCYNACEAE,Frangipán,Plumeria rubra 
1187,2.0,LAURACEAE,Aguacate,Persea americana 
1188,2.0,MYRTACEAE,Pero de agua,Syzygium malaccense
1189,4.3,RUBIACEAE,Azuceno de monte,Posoqueria latifolia
1190,4.0,LAURACEAE,Aguacate,Persea americana 
1191,1.7,FABACEAE,Cámbulo,Erythrina poeppigiana 
1192,1.0,ZYGOPHYLLACEAE,Guayacán azul,Guaiacum officinale
1193,6.8,FABACEAE,Gualanday (2),Jacaranda hesperia 
1194,1.3,RUTACEAE,Limón,Citrus sp.
1195,2.1,MYRTACEAE,Pero de agua,Syzygium malaccense
1196,9.5,MELIACEAE,Caobo,Swietenia macrophylla 
1197,1.0,MYRTACEAE,Grosello,Eugenia uniflora
1198,12.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1199,8.5,SAPOTACEAE,Caimito,Chrysophyllum cainito
1200,8.0,ANACARDIACEAE,Mango,Mangifera indica 
1201,15.8,OLEACEAE,Urapán,Fraxinus uhdei 
1202,3.9,ZYGOPHYLLACEAE,Guayacán bola,Bulnesia arborea 
1203,11.0,ARECACEAE,Palma de Madagascar,Dypsis madagascariensis
1204,6.0,FABACEAE,Acacia amarilla (1),Peltophorum dubium
1205,10.5,ARECACEAE,Palma arenga,Arenga sp.
1206,12.0,OLEACEAE,Urapán,Fraxinus uhdei 
1207,13.0,MALVACEAE,Ceiba verde,Pseudobombax septenatum 
1208,14.0,MELIACEAE,Caobo,Swietenia macrophylla 
1209,3.2,ZYGOPHYLLACEAE,Guayacán bola,Bulnesia arborea 
1210,6.8,MALVACEAE,Embira,Eriotheca gracilipes
1211,6.0,FABACEAE,Ébano,Caesalpinia ebano 
1212,0.65,MORACEAE,Árbol del pan,Artocarpus altilis
1213,6.5,ANACARDIACEAE,Mango,Mangifera indica 
1214,10.0,ARECACEAE,Palma payanesa,Archontophoenix cunninghamiana
1215,4.3,RUTACEAE,Azahar de la india,Murraya paniculata
1216,13.0,OLEACEAE,Urapán,Fraxinus uhdei 
1217,4.3,,Desconocido,Desconocido
1218,8.5,ANACARDIACEAE,Mango,Mangifera indica 
1219,5.0,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1220,5.0,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1221,1.2,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1222,17.0,ARECACEAE,Palma real,Roystonea regia 
1223,9.5,ARECACEAE,Palma corozo del Orinoco,Aiphanes horrida
1224,16.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1225,2.6,EUPHORBIACEAE,Papayuelo,Cnidoscolus aconitifolius
1226,2.5,EUPHORBIACEAE,Papayuelo,Cnidoscolus aconitifolius
1227,3.5,LAURACEAE,Aguacate,Persea americana 
1228,11.0,OLEACEAE,Urapán,Fraxinus uhdei 
1229,5.0,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1230,13.0,FABACEAE,Tambor,Schizolobium parahyba 
1231,5.0,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1232,9.0,FABACEAE,Ébano,Caesalpinia ebano 
1233,17.0,MELIACEAE,Caobo,Swietenia macrophylla 
1234,1.4,MYRTACEAE,Guayabo,Psidium guajava 
1235,11.0,FABACEAE,Tambor,Schizolobium parahyba 
1236,4.3,MYRTACEAE,Guayabo jaboticaba,Myrciaria cauliflora
1237,11.0,FABACEAE,Ébano,Caesalpinia ebano 
1238,2.8,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1239,1.4,ZYGOPHYLLACEAE,Guayacán bola,Bulnesia arborea 
1240,13.0,OLEACEAE,Urapán,Fraxinus uhdei 
1241,8.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
