,startA,startB,Distancia,Tiempo (min)
492,Campus Nacional,La 33,2.24,15.4666666667
493,Campus Nacional,Rosales,2.88,17.6
494,Campus Nacional,Maria Luisa Calle,4.96,24.5333333333
495,Campus Nacional,Unidad Deportiva de Belén,2.48,16.2666666667
497,Campus Nacional,Cafetero,2.24,15.4666666667
498,Campus Nacional,Metro Envigado Sur,2.8,17.3333333333
499,Campus Nacional,Metro Envigado Norte,2.96,17.8666666667
500,Campus Nacional,Auxiliar Metro Envigado,2.88,17.6
501,Campus Nacional,La Ultima Estación,2.88,17.6
502,Campus Nacional,Pista de Patinaje,2.88,17.6
503,Campus Nacional,Villas de Vallejuelos,3.04,18.1333333333
504,Campus Nacional,Iglesia Alcalá,3.04,18.1333333333
505,Campus Nacional,Los Urapanes,3.2,18.6666666667
506,Campus Nacional,Parque Débora Arango,3.12,18.4
507,Campus Nacional,Porton de Alcalá,3.28,18.9333333333
508,Campus Nacional,El MUA,3.28,18.9333333333
509,Campus Nacional,Viva Envigado,3.44,19.4666666667
510,Campus Nacional,Guanteros,3.36,19.2
511,Campus Nacional,Envigado Centro,3.52,19.7333333333
512,Campus Nacional,Puente fundadores,2.96,17.8666666667
513,Campus Nacional,Sabaneta Metro,1.84,14.1333333333
514,Campus Nacional,Las Vegas 69 Sur,2.08,14.9333333333
515,Campus Nacional,Santa Ana,2.08,14.9333333333
516,Campus Nacional,Calle Nueva,2.88,17.6
517,Campus Nacional,La Barquereña,2.4,16.0
518,Campus Nacional,Entre amigos,2.48,16.2666666667
519,Campus Nacional,Sabaneta Centro,2.56,16.5333333333
520,Campus Nacional,Aves María,2.72,17.0666666667
521,Campus Nacional,Biblioteca Sabaneta,2.72,17.0666666667
522,Campus Nacional,Parque 4 Elementos,2.24,15.4666666667
523,Campus Nacional,Puente de la 77 Sur,2.72,17.0666666667
526,Campus Nacional,Bahía Ciclovia,2.4,16.0
527,Campus Nacional,Ideas,2.08,14.9333333333
528,Campus Nacional,Parque Itaguí,1.68,13.6
529,Campus Nacional,Metróplus Cami,1.52,13.0666666667
