,FAMILIA,Nombre común,Nombre científico,X,Y,NUMERO DE TALLOS,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,SUMATORIA CAP,ALTURA TOTAL,ALTURA DE COPA,DIAMETRO_MAYOR ,DIAMETRO_MENOR,ORIENTACIÒN DE COPA (Punto Cardinal)
1792,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2656113,-75.568128,1,137.2,,,,,137.2,17.0,6.0,18.5,17.9,Este -oeste
1793,CYCADACEAE,Cyca,Cycas sp.,6.2655933,-75.5681095,1,0.0,,,,,0.0,0.8,0.05,1.3,0.9,Norte-sur
1794,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.265562,-75.5681136,1,144.2,,,,,144.2,13.0,6.0,13.5,10.4,Este -oeste
1795,ARECACEAE,Palma Bismarckia,Bismarckia nobilis,6.2655573,-75.5680717,1,165.0,,,,,165.0,8.5,3.8,15.2,13.2,Norte-sur
1796,RUTACEAE,Naranjo agrio,Citrus sp.,6.265552,-75.5680428,4,33.2,31.4,22.2,18.0,,104.8,5.8,2.0,10.8,9.5,Norte-sur
1797,MALVACEAE,Catostemma,Catostemma digitatum,6.2655193,-75.568066,1,18.2,,,,,18.2,3.2,2.3,1.5,1.3,Norte-sur
1798,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2654927,-75.5680837,1,83.6,,,,,83.6,11.0,6.8,13.5,11.8,Este -oeste
1799,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2654787,-75.5680585,1,139.2,,,,,139.2,14.0,7.0,16.2,10.9,Este -oeste
1800,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.265458,-75.5680587,2,105.3,78.0,,,,183.3,14.0,6.5,18.5,13.5,Norte-sur
1801,ARECACEAE,Palma arenga,Arenga sp.,6.2654547,-75.5680449,2,31.2,27.0,,,,58.2,8.0,3.9,9.8,6.1,Este -oeste
1802,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.265414,-75.5680369,1,84.9,,,,,84.9,16.0,6.7,18.5,12.8,Norte-sur
1803,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea ,6.2653847,-75.567982,1,93.1,,,,,93.1,14.0,5.3,18.5,10.6,Este -oeste
1804,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2655833,-75.5681855,1,115.2,,,,,115.2,16.0,7.0,15.2,10.7,Este -oeste
1805,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2655427,-75.5681682,1,106.5,,,,,106.5,11.0,4.5,16.2,9.2,Norte-sur
1806,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa ,6.2654873,-75.5681895,1,102.0,,,,,102.0,13.0,6.8,17.4,15.3,Este -oeste
